"Probes","Chr","Pos"
"cg05955675","chr16",85206653
"cg09179916","chr5",38445834
"cg23661466","chr10",63657173
"cg02738086","chr22",41941494
"cg12905085","chr1",32054510
"cg01501896","chr17",40274670
"cg16510654","chr1",16330625
"cg05903289","chr2",130345205
"cg03951833","chr1",147801103
"cg23536158","chr8",48172746
"cg13159361","chr15",27819341
"cg12526471","chr11",113929188
"cg22343877","chr1",175856781
"cg07491676","chr15",76400783
"cg09760963","chr4",154680808
"cg24920126","chr6",5087266
"cg21854759","chr1",92012499
"cg01825213","chr9",98979965
"cg08863620","chr10",88136768
"cg05563558","chr12",3445716
"cg02610813","chr7",99067317
"cg08930131","chr5",177811198
"cg26227310","chr10",102884087
"cg14950193","chr7",89873797
"cg04863005","chr1",59043208
"cg10825234","chr4",1041061
"cg16391327","chr15",38746048
"cg17329164","chr6",32121259
"cg10140454","chr17",17626019
"cg22382854","chr17",56124169
"cg13705830","chr9",89518557
"cg14221766","chr9",36818572
"cg06679270","chr15",101084980
"cg26364871","chr10",1889757
"cg02962952","chr17",75789439
"cg25390787","chr6",49681299
"cg22500876","chr7",45187902
"cg05917111","chr16",75568999
"cg00659878","chr1",229706242
"cg11598935","chr20",55837619
"cg10085138","chr7",25991722
"cg20364512","chr22",28199338
"cg15656686","chr6",30854551
"cg21545013","chr1",8407891
"cg05411132","chrX",99195115
"cg06647332","chr5",131281008
"cg06238004","chr17",42029727
"cg00540400","chr15",79124168
"cg06454084","chr19",47158242
"cg13688770","chr4",2367137
"cg27464846","chr16",88268600
"cg17393016","chr17",79283390
"cg03983336","chr2",108602542
"cg15013527","chr11",316339
"cg09810089","chr1",211652688
"cg16215084","chr6",30853948
"cg21471580","chr8",22132874
"cg19154438","chr19",45825730
"cg12845268","chr10",63657363
"cg10197057","chr1",42612518
"cg08450021","chr11",111101517
"cg23415434","chr2",131798869
"cg05156901","chr22",51016646
"cg27196974","chr17",80337729
"cg11359720","chr21",45246441
"cg21038703","chr17",42248358
"cg16559243","chr5",38445612
"cg00487142","chr3",109056357
"cg19463349","chr13",27316791
"cg16495975","chr16",8619855
"cg04720348","chr5",72922873
"cg01467047","chr16",86611690
"cg18210365","chr15",65066710
"cg00892368","chr6",32847704
"cg16370398","chr12",54448913
"cg13569486","chr11",8290738
"cg16530165","chr2",232792397
"cg03540028","chr21",43183977
"cg21542078","chr19",49700006
"cg18050844","chr17",44909987
"cg00961617","chr17",37782380
"cg00355514","chr13",24914782
"cg08328513","chr5",78365691
"cg23651872","chr17",77924733
"cg27625401","chr16",3148536
"cg07703976","chr7",48494734
"cg02463440","chr8",22132932
"cg20071884","chrX",118284647
"cg09974661","chr2",3642634
"cg03814644","chr6",166354095
"cg22849665","chr6",32118375
"cg22343728","chr22",46287028
"cg00318347","chr8",25812500
"cg27648238","chr8",120685601
"cg03557725","chr12",96251912
"cg24661236","chr6",36930062
"cg09852697","chr1",3616642
"cg23737190","chr6",36930021
"cg05687834","chr12",106534276
"cg11097968","chr14",103012188
"cg25547332","chr5",131281432
"cg15574301","chr5",131607097
"cg16358155","chr3",195490169
"cg15665630","chr3",126397794
"cg00056497","chr10",134785521
"cg06840491","chr10",48416966
"cg08198488","chr15",63333792
"cg18942934","chr6",32847762
"cg00099295","chr3",12597720
"cg04123507","chr12",52695270
"cg18646240","chr1",40626599
"cg02066331","chr6",17282778
"cg11560654","chr13",27317117
"cg09408902","chr2",121338544
"cg17976873","chr14",23352295
"cg16468843","chr3",10370624
"cg25447894","chr22",41957443
"cg21116077","chr1",10920786
"cg20673321","chr19",48049233
"cg22872778","chr7",48494156
"cg21902394","chr17",19883326
"cg13686059","chr2",11101549
"cg15196156","chr1",40388395
"cg07357827","chr3",12200835
"cg24762889","chr6",29127871
"cg02726377","chr4",108745279
"cg19433435","chr11",125366590
"cg06861037","chr16",50278918
"cg22457769","chr8",144822917
"cg09533178","chr19",55630336
"cg10432947","chr4",2062441
"cg00147172","chr22",46423604
"cg18582362","chr7",89975159
"cg00589002","chr1",3606082
"cg19234738","chr3",134031551
"cg15946312","chr5",180646880
"cg17239057","chr1",224363575
"cg25953930","chr6",41462541
"cg04136369","chr17",36070600
"cg00590063","chr19",17918795
"cg02947450","chr10",22766861
"cg27561907","chr16",2848830
"cg21833184","chr7",5112572
"cg25845463","chr1",2064046
"cg26952618","chr16",10912545
"cg03850936","chr6",168216524
"cg07033475","chr11",13508769
"cg14223001","chr11",44978881
"cg07068045","chr11",69312202
"cg05573767","chr6",167171394
"cg06074123","chr4",56660460
"cg14128068","chr9",96590527
"cg17158564","chr10",5406890
"cg17870997","chr2",121498521
"cg03961510","chr10",2978438
"cg15398400","chr10",118429481
"cg01185080","chr15",90543813
"cg22258713","chr8",144267518
"cg27597505","chr12",54148217
"cg15234845","chr10",102496500
"cg07107113","chr1",16087752
"cg16748643","chr16",1336696
"cg04774597","chr15",69744390
"cg11906444","chr19",43858174
"cg27126225","chr11",8101793
"cg17792740","chr10",88729315
"cg24829409","chr8",58192753
"cg27449258","chr21",46493436
"cg12440062","chr6",49681391
"cg01025774","chr5",42944457
"cg15837308","chr6",32427751
"cg12125332","chr14",75536561
"cg20366479","chr2",217501125
"cg19112186","chr22",51016638
"cg23367683","chr5",180627941
"cg27291468","chr2",9878816
"cg10531073","chr22",38485757
"cg23687098","chr2",132152878
"cg06108383","chr6",32120899
"cg09183151","chr5",170889300
"cg04139465","chr19",51020297
"cg11586382","chr10",3215966
"cg14833891","chr7",45188085
"cg24942458","chr19",33723713
"cg05756918","chr7",27253707
"cg06850787","chr2",716357
"cg24786658","chr7",112727423
"cg10441379","chr5",72793693
"cg03998792","chr11",120011770
"cg18869061","chr15",100272053
"cg21890667","chr22",30476089
"cg14281592","chr9",129884313
"cg27314669","chr1",156822430
"cg19443920","chr17",40075879
"cg24435747","chr1",24514557
"cg02207638","chr20",33880049
"cg06174495","chr21",47399648
"cg18049164","chr5",110407157
"cg12453228","chr6",41338345
"cg23390118","chr12",2339513
"cg22158992","chr5",1021831
"cg03904291","chr11",119019361
"cg03221914","chr6",27783331
"cg19717326","chr19",54370016
"cg26976412","chr17",17626127
"cg22039909","chr1",3635100
"cg05189804","chr11",123065246
"cg21033965","chr1",178455800
"cg10697737","chr19",1673498
"cg27071797","chr15",62516631
"cg04636402","chr5",139284774
"cg24530234","chr10",44224014
"cg10350722","chr12",3490214
"cg17016026","chr2",45203363
"cg12671565","chr12",1904730
"cg04647918","chr11",67383862
"cg05526015","chr6",170553845
"cg01362541","chr20",55838142
"cg09544050","chr8",143580965
"cg18184975","chr20",3644192
"cg18209323","chr7",92672878
"cg12806797","chr12",14926572
"cg02477448","chr22",38199880
"cg03446244","chr16",86229872
"cg19402371","chr19",55889013
"cg11168104","chr5",1857477
"cg26036375","chr2",122660039
"cg20444256","chr19",45826341
"cg27001715","chr6",150329845
"cg14836839","chr17",42706084
"cg25594486","chr19",51165441
"cg13464393","chr9",90440066
"cg24576535","chr3",113417997
"cg10225865","chr8",54605566
"cg04164023","chr11",125106101
"cg19710238","chr2",382237
"cg20918682","chr20",6034694
"cg03846641","chr2",109746751
"cg03929570","chr16",70484978
"cg09856367","chr3",134124508
"cg02680487","chr6",30851529
"cg03130418","chr6",32063439
"cg00348467","chr17",43222121
"cg11868728","chr20",22568116
"cg26784300","chr2",8596908
"cg22549041","chr15",75019251
"cg21477262","chr12",22777430
"cg05341260","chr17",37730450
"cg19999682","chr4",14864863
"cg21734175","chr12",121107042
"cg19570321","chr11",63258214
"cg13331196","chr10",88295591
"cg02486145","chr2",38334178
"cg09320367","chr1",40177469
"cg22914338","chr19",14376960
"cg23018236","chr17",30244563
"cg23812775","chr10",48416899
"cg07168142","chr17",40274740
"cg19176553","chr17",43049895
"cg14951955","chr6",106773949
"cg11823142","chr6",27018041
"cg11218842","chr10",5406907
"cg16355231","chr1",2344979
"cg23657179","chr10",77165025
"cg19478539","chr17",39957639
"cg14837974","chr14",21110908
"cg24268343","chrX",56260186
"cg24569251","chr6",36628087
"cg10875257","chr6",28554274
"cg09676390","chr21",46493345
"cg02784823","chr19",49000897
"cg11170318","chr21",45246363
"cg05936300","chr1",3574704
"cg02788857","chr8",22132959
"cg08350047","chr16",50278722
"cg00850481","chr1",228891306
"cg19370715","chr1",10710847
"cg19398496","chr6",26323437
"cg14209784","chr10",88729861
"cg00947878","chr16",57832005
"cg17872886","chr2",3642732
"cg07855242","chr2",1841068
"cg05056638","chr8",24800824
"cg18055623","chr19",54485327
"cg24435209","chr22",17640972
"cg10816626","chr1",10711457
"cg05434641","chr16",56391437
"cg00995520","chr1",111218282
"cg00245465","chr12",8756853
"cg13796381","chr9",139872395
"cg19313311","chr7",74058031
"cg14785464","chr21",38362725
"cg16081457","chr12",81103680
"cg19975916","chr12",123215308
"cg01847021","chr7",4877595
"cg11715966","chr19",46917255
"cg07207789","chr16",84852909
"cg08383929","chr5",180646754
"cg11632438","chr3",158519176
"cg15193133","chr17",19883474
"cg17369032","chr17",47590326
"cg27583138","chr6",24774877
"cg05239811","chr6",31734147
"cg13507429","chr1",18807550
"cg04487205","chr17",36997563
"cg12102973","chr19",13320368
"cg20758542","chr22",17565149
"cg17519696","chr15",28148266
"cg09065876","chr17",45949756
"cg15597109","chr1",10711695
"cg10068408","chr11",62783394
"cg16537676","chr6",30851624
"cg11320749","chr10",130009573
"cg14625581","chr17",75692478
"cg01854076","chr4",2063036
"cg15986919","chr19",55887799
"cg27569858","chr1",110614161
"cg13001017","chr6",74072320
"cg05358404","chr20",62288950
"cg03630736","chr17",74069290
"cg05216268","chr15",42328872
"cg13561807","chr18",44237619
"cg01466011","chr3",156837590
"cg04605287","chr1",54953486
"cg20925954","chr10",112256640
"cg02283735","chr1",44011587
"cg06251500","chr7",150643915
"cg23146346","chr6",17282859
"cg27297505","chr2",121324526
"cg17830682","chr1",202182642
"cg11367159","chr12",110044531
"cg19431051","chr11",60414767
"cg08819022","chr22",18531447
"cg07654896","chrX",46937829
"cg13206556","chr13",20875399
"cg01332054","chr15",74494861
"cg14030674","chr8",41654557
"cg00989365","chr14",70014548
"cg00964751","chr17",36828900
"cg16080552","chr1",59043199
"cg05567511","chr7",151113760
"cg18135555","chr8",22132992
"cg13583088","chr14",94360154
"cg20418125","chr11",133099168
"cg16288318","chr13",112986927
"cg09071762","chr6",74064149
"cg16426293","chr17",40192112
"cg25270844","chr19",56004925
"cg05820241","chr1",232442534
"cg04915618","chr3",124304960
"cg19362196","chr1",26233615
"cg01239922","chr5",191242
"cg07923794","chr17",77834237
"cg26875665","chr1",160340708
"cg22251148","chr11",16631866
"cg12583970","chr1",27190330
"cg15302032","chr11",131526811
"cg22805485","chr11",13983818
"cg26206185","chr22",50451151
"cg03710889","chr2",219252818
"cg18026225","chr17",43198423
"cg02369725","chr2",178936951
"cg04502620","chr16",30020843
"cg08639948","chr1",36591237
"cg19983801","chr3",195538730
"cg20432211","chr4",77342104
"cg14843888","chr3",53530247
"cg02661079","chr20",44829722
"cg23079252","chr6",30095199
"cg27147718","chr16",58496542
"cg13490352","chr7",55072042
"cg11498156","chr10",102890145
"cg19894382","chr10",60086891
"cg27179866","chr6",27740120
"cg09035529","chr11",64335804
"cg19045731","chr2",239037533
"cg21136104","chr3",142666320
"cg15541170","chr2",238224257
"cg03954393","chr1",204679626
"cg11822175","chr10",102637177
"cg16617366","chr18",46064816
"cg19340941","chr4",155702931
"cg03243506","chr20",2517231
"cg04534697","chr6",164393434
"cg21911276","chr18",55289797
"cg07790079","chr1",116021925
"cg04888360","chr10",99648780
"cg03727673","chr1",21966420
"cg11998619","chr19",48364243
"cg06501366","chr5",78365687
"cg09713684","chr5",134372398
"cg11704513","chr20",30225851
"cg09817162","chr6",27185676
"cg12588880","chr2",8597159
"cg04037236","chr17",2951736
"cg02354563","chr5",522363
"cg14882481","chr11",107437051
"cg07991586","chr16",50279175
"cg11537406","chr11",124932624
"cg21251018","chr6",28226885
"cg00305229","chr1",46943714
"cg19766489","chr1",78511344
"cg07589381","chr1",10764512
"cg23206461","chr1",147782116
"cg24258529","chr4",1570685
"cg22695379","chr5",137593551
"cg19871388","chr20",50419082
"cg23820816","chr4",154125594
"cg12079699","chr11",131564481
"cg08217285","chr17",27917879
"cg07476339","chr7",154706964
"cg13029400","chr3",141087190
"cg01677628","chr11",8361190
"cg04473902","chr12",14721288
"cg25792518","chr17",48545950
"cg02557933","chr2",220351040
"cg02657828","chr16",86703935
"cg26090072","chr2",74669387
"cg08234653","chr10",44223817
"cg11556846","chr2",200468728
"cg03456771","chr7",56242072
"cg10036920","chr12",133180045
"cg27237745","chr6",74072271
"cg00847857","chr21",30565636
"cg17962638","chr6",90597340
"cg20236750","chr10",95516908
"cg05021771","chr2",71129289
"cg25288155","chr11",73357396
"cg06620514","chr14",74793271
"cg02168442","chr8",102236522
"cg05393297","chr12",53359155
"cg04876424","chr6",17280551
"cg27516568","chr4",122686667
"cg04217177","chr1",217306700
"cg17878151","chr15",99975334
"cg08745665","chr4",10460009
"cg23863328","chr10",49879704
"cg00646396","chr1",26482755
"cg15901783","chr13",77461426
"cg16092017","chr5",134827643
"cg00317879","chr11",68920611
"cg03124514","chr5",42943857
"cg08217910","chr2",120188912
"cg08950537","chr10",95361933
"cg10043155","chr6",25218855
"cg04149978","chr1",10764896
"cg12499235","chr11",2293173
"cg00944166","chr5",101834675
"cg19545472","chr20",3644097
"cg18322589","chr10",123909456
"cg08109624","chr1",242220925
"cg10347828","chr19",49244040
"cg12161935","chr2",214148
"cg13211302","chr8",102236731
"cg12231373","chr6",36628103
"cg02735058","chr6",16181250
"cg01733570","chr7",24797656
"cg23105130","chr8",144799022
"cg05168015","chr5",171880461
"cg23936402","chr6",28499703
"cg08260245","chr22",51016501
"cg15743907","chr1",144994542
"cg03661817","chr16",57831745
"cg01306688","chr12",123215301
"cg13291570","chr8",514736
"cg03696370","chr8",22642451
"cg20518446","chr11",62315034
"cg17745392","chr19",51050258
"cg00256046","chr1",217306763
"cg06114987","chr16",86611714
"cg02462416","chr11",2036573
"cg01914059","chr16",88448561
"cg02932167","chr2",233352951
"cg02599361","chr5",178548373
"cg16595288","chr10",43698931
"cg15769343","chr12",120835663
"cg13244241","chr10",102491731
"cg07241675","chr7",99067143
"cg08889009","chr15",59157123
"cg01306824","chr17",77834118
"cg06891815","chr6",32165237
"cg27206976","chr22",50738315
"cg01960748","chr1",24522592
"cg24720008","chr10",44788044
"cg16351246","chr13",20751345
"cg01601573","chr4",144256835
"cg24466377","chr19",46268509
"cg27522367","chr12",50497732
"cg13344095","chr6",26233352
"cg27469738","chr10",99338074
"cg22243109","chr17",75789365
"cg04731038","chr17",48858636
"cg21391046","chr4",183935233
"cg16390049","chr6",32165089
"cg19628964","chr6",28830011
"cg21489266","chr3",46619131
"cg05134926","chr18",30349111
"cg09517873","chr1",12656315
"cg14457311","chr17",48698799
"cg00592643","chr20",11870769
"cg24723561","chr1",234367586
"cg08250742","chr17",47651453
"cg18092474","chr15",75019302
"cg01869233","chr20",6035139
"cg03879180","chr2",24713283
"cg07726287","chr16",84318109
"cg18533225","chr22",50986813
"cg04169774","chr2",239198437
"cg18062205","chr20",49630819
"cg27454064","chr12",64215611
"cg14170358","chr2",88527345
"cg09906233","chr4",2341263
"cg21461564","chr8",63999030
"cg06766016","chr1",45278971
"cg03021802","chr8",21923841
"cg04143909","chr1",234367322
"cg02172058","chr17",58499911
"cg00868766","chr15",40364524
"cg22572476","chr6",28601324
"cg08952407","chr5",42756860
"cg06468108","chr2",173539091
"cg19910200","chr19",55888150
"cg03517083","chr16",75569527
"cg14283328","chr11",66823587
"cg03115048","chr1",152077402
"cg15534366","chr20",59826207
"cg26687119","chr1",156828442
"cg03961824","chr8",82530967
"cg10838157","chr15",27819662
"cg12432038","chr1",247275735
"cg09101902","chr10",49863809
"cg20031364","chr17",36731152
"cg27357306","chr10",63657059
"cg22451657","chr1",6558088
"cg13404038","chr9",126123344
"cg08812802","chr12",49686619
"cg01309213","chr16",331821
"cg14476334","chr1",1100557
"cg21716282","chr3",127634587
"cg14724749","chr19",51774592
"cg02024846","chr9",99382466
"cg24263062","chr20",2730191
"cg02834449","chr16",85786110
"cg15638292","chr11",76849451
"cg24694702","chr12",119617656
"cg25985355","chr7",65971099
"cg24517467","chr7",155284331
"cg14160968","chr4",77723057
"cg14320626","chr4",3746025
"cg12130768","chr17",9550545
"cg21062347","chr11",62783543
"cg21051964","chr12",58022620
"cg03547924","chr20",34025927
"cg22550309","chr3",46875360
"cg15770575","chr22",42760647
"cg00737841","chr10",130726624
"cg08035479","chr8",58172643
"cg26477792","chr6",30095277
"cg21936959","chr11",68782049
"cg13666323","chrX",8751190
"cg02141929","chr16",56681544
"cg13744039","chr3",184475074
"cg09259081","chr16",84538889
"cg03484180","chr3",49967517
"cg21434046","chr18",56435611
"cg14759277","chr17",48674158
"cg26608305","chr11",925416
"cg23823894","chr8",11471881
"cg18706028","chr11",6292490
"cg25606780","chr3",47397852
"cg27483455","chr12",50475360
"cg13125537","chr17",7037323
"cg27491557","chr6",3165885
"cg08134856","chr1",26233709
"cg25541708","chr5",179817027
"cg11348165","chr1",27189270
"cg01161644","chr16",28270238
"cg02605996","chr3",148664754
"cg09552892","chr10",88718274
"cg20941258","chr3",46618668
"cg13948430","chr2",132152960
"cg23009355","chr11",68451396
"cg01440864","chr17",44892087
"cg22496723","chr22",36960779
"cg01862363","chr17",8928028
"cg25341560","chr19",35530755
"cg26182859","chr1",153762201
"cg00274965","chr21",34405681
"cg07455790","chr6",31650735
"cg03671431","chr18",61604367
"cg21151061","chr12",50498016
"cg00034101","chr1",40098595
"cg06588556","chr11",18477299
"cg20048521","chr6",74072242
"cg06710596","chr19",36024279
"cg24049888","chr11",111250129
"cg16749456","chr19",49699879
"cg21597025","chr3",142837564
"cg21714557","chr13",113776873
"cg26536593","chr1",247242539
"cg17204557","chr2",121223909
"cg12207153","chr1",38519255
"cg19250304","chr10",3215771
"cg13083129","chr19",1311811
"cg27503360","chr17",43890749
"cg13016619","chr2",527786
"cg13641043","chr17",43198610
"cg17842821","chr5",1834682
"cg00108349","chr13",24914657
"cg18376352","chr19",18706136
"cg01001533","chr10",44184868
"cg21700780","chr8",2004050
"cg09768983","chr4",183935060
"cg02049405","chr6",30095265
"cg14434213","chr8",38508780
"cg14785609","chr1",157948816
"cg09636313","chr16",89070025
"cg25604594","chr10",99338188
"cg23467079","chr8",124219425
"cg11181985","chr9",90439888
"cg25423077","chr18",59221601
"cg00095526","chr1",201081686
"cg15414745","chr6",74064047
"cg24261333","chr11",73357019
"cg18460422","chr6",32063553
"cg16894439","chr1",228634806
"cg23335299","chr15",90291756
"cg10958002","chr3",12200324
"cg14995475","chr19",6534774
"cg09506675","chr7",112727914
"cg15667844","chr10",112256729
"cg09795979","chr11",45308098
"cg27379787","chr2",239907658
"cg08537783","chr1",10795394
"cg19872936","chr14",76932055
"cg27331665","chr11",316456
"cg16971128","chr22",37499859
"cg15042332","chr6",123100722
"cg19414967","chr8",49468296
"cg08922729","chr1",21913557
"cg00270625","chr22",51017019
"cg21767759","chr17",48154356
"cg08169827","chr1",32054766
"cg12758973","chr1",247694275
"cg19497444","chr11",2930794
"cg01759114","chr8",56494607
"cg24258347","chr11",13983851
"cg06260709","chr20",48626621
"cg26014401","chr22",25082111
"cg14892768","chr19",41725332
"cg23602058","chr17",48154061
"cg25926515","chr10",70321889
"cg03014829","chr7",55516872
"cg02150077","chr16",87098542
"cg04986934","chr17",39019908
"cg15682101","chr6",168773765
"cg03441844","chr1",161368947
"cg17768691","chr12",14720948
"cg10257870","chr5",78985484
"cg03127558","chr19",49223278
"cg08481464","chr10",77871618
"cg26516532","chr1",17475832
"cg13872005","chr2",105275613
"cg25125298","chr5",71853215
"cg07356483","chr10",99791663
"cg22523072","chr1",248300255
"cg09791746","chr19",1510494
"cg07740525","chr9",116861532
"cg12602851","chr6",76644222
"cg11213150","chr9",129884457
"cg11403027","chr5",42971411
"cg02213822","chr9",128985576
"cg20951444","chr1",33337112
"cg03340760","chr2",121071458
"cg03058346","chr1",91275170
"cg26298737","chr1",225964937
"cg24992471","chr17",47571963
"cg11885357","chr3",138152902
"cg04079760","chr16",68269694
"cg21950166","chr1",27189349
"cg23626733","chr1",2345398
"cg01382860","chr19",49700021
"cg11362935","chr11",111250201
"cg14847243","chr3",184104362
"cg19098932","chr1",2345152
"cg04752871","chr2",121412432
"cg03622666","chr16",49499091
"cg11434671","chr17",74524611
"cg19966745","chr10",134965215
"cg09163477","chr12",131190045
"cg07164191","chr5",177413628
"cg25502179","chr3",46875342
"cg21797718","chr6",34024416
"cg17105139","chr2",74729279
"cg26233253","chr22",31032613
"cg00647658","chr16",54227814
"cg08012287","chr11",66315298
"cg19146112","chr6",74072255
"cg00748494","chr13",23412343
"cg16768191","chr7",152592038
"cg12271415","chr19",56005437
"cg04585822","chr17",72916509
"cg00364956","chr17",33777219
"cg00697301","chr12",19936477
"cg17572255","chr12",50676705
"cg05376267","chr1",226075388
"cg06679334","chr17",35241844
"cg01343041","chr2",24397787
"cg11460035","chr11",94245224
"cg25478132","chr10",102854188
"cg05112555","chr17",71739385
"cg26664752","chr11",123940635
"cg04327247","chr9",100564659
"cg00463502","chr17",48912548
"cg22462726","chr3",184209261
"cg17401780","chr10",129949004
"cg00984540","chr7",155589293
"cg08272268","chr1",200380059
"cg02996583","chr8",142237188
"cg09693926","chr5",178547863
"cg12763978","chr6",28601519
"cg24690094","chr11",67383802
"cg11386011","chr6",32121156
"cg11166453","chr1",247681781
"cg05857999","chr6",31650760
"cg09481121","chr5",78985425
"cg20800117","chr1",7308366
"cg22445712","chr22",50738550
"cg01020079","chr12",51236704
"cg02625638","chr8",124218648
"cg24024528","chr12",59478783
"cg13067553","chr1",147782452
"cg07330481","chr17",37322330
"cg18556455","chr2",45178474
"cg19833103","chr13",47126551
"cg03880033","chr16",55866757
"cg01283332","chr5",1856932
"cg26931208","chr19",49244592
"cg22522920","chr12",50276512
"cg02206373","chr7",89841767
"cg04686778","chr11",64375218
"cg22573675","chr2",38762739
"cg09068286","chr5",179779115
"cg27302994","chr1",30240265
"cg26500033","chr6",166585954
"cg06590170","chr6",33969828
"cg10800953","chr3",184104380
"cg25308803","chr2",109746735
"cg15891218","chr14",61748354
"cg00639837","chr13",20711637
"cg16290689","chr13",31506685
"cg16686158","chr22",30476098
"cg17745234","chr22",37499649
"cg25966908","chr7",55516751
"cg10487067","chr1",40112140
"cg19552640","chr5",126627061
"cg17213154","chr11",8832956
"cg09119043","chr1",234367443
"cg14099457","chr3",49170794
"cg13214295","chr17",75789279
"cg13707623","chr20",57766574
"cg15587771","chr7",4050875
"cg20339859","chr10",133811612
"cg19149031","chr6",160784044
"cg17324149","chr3",127725522
"cg02865928","chr17",47983346
"cg17289378","chr6",168773658
"cg26672426","chr9",132514582
"cg06950634","chr11",304351
"cg07951355","chr1",40123717
"cg19143959","chr15",40572794
"cg16454316","chr6",32847845
"cg04198698","chr15",62515913
"cg12288076","chr20",45170254
"cg08632909","chr11",70048796
"cg14897238","chr21",43198283
"cg03209412","chr4",183728196
"cg05308656","chr2",235406291
"cg18770763","chr11",724525
"cg13695585","chr6",30853014
"cg17382841","chr5",38445614
"cg08828723","chr6",32165176
"cg10714061","chr6",33714631
"cg03883572","chr5",66461884
"cg19645200","chr5",179816503
"cg23882131","chr11",68779826
"cg24210717","chr12",50497827
"cg03832522","chr2",218898668
"cg06351981","chr2",220350567
"cg05888252","chr1",175857819
"cg12684052","chr17",19883602
"cg03969301","chr2",11056425
"cg00412675","chr8",11577758
"cg14132536","chr9",130700442
"cg12451836","chr7",156736047
"cg19773546","chr17",45944339
"cg16228356","chr17",43848958
"cg06012872","chr10",45374841
"cg20091689","chr2",97524862
"cg21644489","chr15",63312170
"cg11426075","chr1",8086959
"cg03939719","chr12",49379062
"cg24360241","chr2",233370823
"cg17469265","chr4",39183353
"cg00537837","chr16",85363209
"cg01786973","chr9",127249749
"cg00463859","chr1",23750101
"cg09353289","chr10",102634946
"cg14896134","chr10",88295386
"cg05499178","chr11",69285980
"cg02760962","chr11",35683421
"cg11688949","chr8",27115956
"cg23647410","chr1",221051066
"cg02365397","chr15",40573976
"cg01968133","chr1",10711542
"cg15302379","chr10",102821848
"cg21225804","chr9",132934214
"cg15203566","chr5",115697446
"cg13477780","chr7",75897549
"cg10503232","chr11",2891495
"cg17726692","chr18",74240460
"cg15043318","chr5",170947897
"cg24279744","chr3",10408402
"cg24341311","chr3",126911844
"cg16844333","chr10",89167457
"cg03001867","chr16",47047897
"cg08572336","chr19",51165404
"cg24414344","chr17",39019556
"cg01168289","chr11",32421514
"cg19297232","chr16",68483021
"cg10638827","chr16",56665855
"cg12199221","chr5",83017078
"cg13445177","chr1",151967021
"cg19817820","chr10",135013791
"cg24067118","chr10",102806933
"cg00603340","chr5",180622072
"cg14972155","chr5",54281198
"cg10202113","chr1",98520089
"cg22624278","chr12",131237708
"cg14924160","chr13",41496235
"cg00493304","chr2",48844908
"cg02680050","chr12",133179887
"cg11146935","chr15",30336678
"cg03122247","chr4",170695598
"cg02431260","chr11",124628888
"cg24635754","chr1",117318185
"cg22471112","chr4",154125453
"cg01971227","chr16",3988694
"cg20480274","chr17",27313125
"cg05409945","chr12",52604025
"cg08817693","chr12",107348944
"cg00337187","chr6",3054716
"cg25944717","chr5",180648843
"cg05300029","chr14",21148957
"cg27244482","chr5",149669488
"cg08401657","chr6",10399046
"cg03012289","chr8",110374374
"cg14502850","chr12",49731991
"cg05157195","chr6",50820135
"cg14263391","chr17",37894014
"cg13337731","chr7",73011308
"cg10270430","chr6",34024362
"cg02052758","chr7",55430948
"cg08421934","chr6",33942413
"cg23851167","chr20",62131189
"cg06042504","chr8",55087323
"cg27385590","chr7",49619841
"cg03697173","chr7",4877433
"cg01811796","chr1",26233565
"cg18045195","chr2",45178950
"cg13521842","chr14",101036202
"cg05998295","chr8",21775764
"cg15974931","chr8",110374294
"cg08231697","chr1",157165335
"cg11676353","chr1",39548001
"cg00933542","chr6",150070202
"cg10217202","chr14",62331131
"cg25974617","chr8",71520962
"cg01499518","chr7",75890022
"cg05714552","chr6",32118295
"cg05586134","chr6",42892994
"cg06419659","chr1",153600132
"cg03043822","chr22",25160098
"cg05390307","chr11",125366499
"cg14089881","chr1",6296630
"cg09168805","chr1",94514548
"cg14991769","chr7",150497157
"cg09411356","chr1",228395756
"cg18025886","chr3",196750939
"cg24599107","chr1",161049443
"cg02989255","chr6",32063774
"cg04229928","chr11",119303807
"cg26174326","chr6",26016674
"cg13220917","chr2",242480249
"cg07935320","chr8",124218630
"cg03684807","chr22",46457384
"cg03521737","chr1",181159001
"cg22986999","chr11",68781976
"cg12793610","chr4",154125637
"cg17818731","chr2",43295753
"cg18798774","chr10",118453649
"cg00701706","chr17",72931632
"cg04631458","chr7",1329462
"cg02400092","chr11",130185384
"cg05373875","chr20",18485171
"cg02479842","chr2",11123536
"cg04312620","chr20",50419214
"cg13970894","chr10",134619422
"cg10365312","chr20",43744110
"cg19590598","chr2",127782813
"cg26019584","chr19",1302689
"cg12838168","chr3",194085842
"cg22172057","chr10",1405937
"cg00976097","chr5",421733
"cg07586026","chr1",12600225
"cg04462774","chr12",50368110
"cg05661164","chr12",52715043
"cg14508777","chr3",42847116
"cg10866062","chr17",72358370
"cg20958628","chr1",15249874
"cg01477942","chr10",2978022
"cg16428357","chr20",34190258
"cg10770023","chr22",51016644
"cg20785560","chr1",78511235
"cg18224262","chr18",56436255
"cg16074228","chr6",74072261
"cg06221946","chr1",32802312
"cg17434154","chr1",217306590
"cg18046394","chr7",29924165
"cg09576209","chr12",2339614
"cg23358886","chr1",211652741
"cg01801826","chr8",1766281
"cg25763520","chr12",49687715
